序号,姓名,描述,武力,智力,合,必杀技,军师技,武器,可用阵形,使用阵形,可用兵种,使用兵种,黄巾之乱剧本及君主,讨伐董卓剧本及君主,群雄割据剧本及君主,赤壁之战剧本及君主,三国鼎立剧本及君主,血统,节操
214,曹真,曹真（？～231年），本名秦真，字子丹，沛国谯县（今安徽省亳州市）人，三国时期曹魏名将。曹真幼年丧父，被曹操收养，力大勇猛，授虎豹骑。因讨伐灵丘的贼寇，封为灵寿亭侯。[1] 历任偏将军、中领军、征蜀护军等职，参与汉中之战。曹丕继位后，拜为镇西将军，都督雍凉诸军事，负责镇守西北边境，进封东乡侯。迁使持节、上军大将军，都督中外诸军事，成为曹魏军队的最高统帅之一。大破羌胡联军，平定河西地区。率军包围江陵，击破吴国将领孙盛，迁中军大将军、给事中。曹丕病重时，接受遗诏，成为辅政大臣之一。魏明帝曹叡即位后，拜大将军，进封邵陵侯。后率军抵御蜀国诸葛亮进攻，迁大司马。太和五年（231年），曹真因病去世，谥号为元，配享太祖（曹操）庙庭。,84,70,154,突石1回天术8突剑四方14火牛阵20八卦奇阵28神火旋张33,保留气力(初)1增加体力(初)8强化武将(初)17偷袭敌军25增加技力(中)17偷袭敌军25增加技力(中)32,眉尖刀,方 鱼 钩 ,方,刀 武 ,刀,,曹操,曹操,弘农登曹操,汝南　登曹操,,4
215,曹纯,曹纯（170年—210年），字子和，沛国谯郡（今安徽亳州）人。东汉末年曹操部下名将，侍中曹炽之子，大司马曹仁之弟。曹纯雅重纲纪，礼贤下士。中平四年（187年），起家黄门郎。董卓之乱后，跟随曹操募兵，开始征战一生的戎马生涯。建安年间，授议郎，迁司空参军，督帅虎豹骑参与平定北方战争，封为高陵亭侯。建安十三年（208年），随从曹操南征荆州，追杀豫州牧刘备，占领江陵。参加赤壁之战，率军返回谯郡。建安十五年（210年），曹纯去世，谥号为威，配享曹操庙庭。,76,70,146,连弩1八门金锁9冰柱刺17冰柱群峰26,降敌士气(初)1增强攻击(初)9降敌士气(中)16劝降25恢复体力(中)16劝降25恢复体力(中)33,眉尖刀,锥 玄 ,锥,刀 ,刀,,陈留登曹操,许昌登曹操,南皮登曹操,曹操,,3
216,曹豹,曹豹（？—196年），东汉末年徐州牧陶谦部将。其女曹氏为吕布次妻。兴平元年（194年），曹操征陶谦，曹豹与刘备屯郯东，邀击之，为操所破。刘备领徐州牧后，与袁术战于淮阴石亭，曹豹与张飞守下邳。张飞欲杀曹豹，被曹豹识破后豹反刘备，间迎吕布，致使吕布得以反客为主自称徐州刺史。三国演义中吕布为曹豹之女婿。曹操伐徐州时，曹豹与刘备一同在郯县以东迎击曹操，却被曹操击破。后仕刘备为下邳相，于刘备与袁术交战时守下邳，反迎吕布入城，后被张飞所杀。,73,30,103,飞矢1突石剑10突袭石18太极华阵28,后选出阵1,短锥枪,鱼 ,鱼,刀 弩 ,刀,徐州野,徐州野,,,,,1
217,曹爽,曹爽（？－249年2月9日），字昭伯，沛国谯县（今安徽省亳州市）人。三国时期曹魏权臣，大司马曹真长子。曹爽体态肥胖[1] ，自少以宗室身份出入宫廷，谨慎持重，曹叡即位后任散骑侍郎，累迁城门校尉，加散骑常侍，转任武卫将军，公元231年（太和五年），其父曹真逝世，曹爽袭封邵陵侯爵位，公元239年（景初三年），明帝曹叡病危，拜曹爽为大将军，假节钺。与司马懿并为托孤大臣。少帝曹芳即位之后加侍中，改封武安侯。从此，势倾四海，声震天下。曹爽原本谦虚谨慎，后来任用私人，专权乱政，侵吞财产，一意孤行出兵伐蜀造成国内虚耗死伤惨重，起居自比皇帝，并采用邓飏之谋将郭太后迁往永宁宫软禁，公元249年（正始十年）正月甲午（初六）日（2月5日），司马懿发动高平陵政变，解除曹爽大将军的职务。不久，被加以谋反之罪而被屠灭三族。,66,44,110,旋龙1八门金锁12冰柱刺25,鼓舞士气(初)1,直剑,圆 钩 ,圆,飞 武 ,武,,曹操,曹操,曹操,新野野曹操,曹操,3
218,曹植,曹植（192年－232年12月27日），字子建，沛国谯县（今安徽省亳州市）人，是曹操与武宣卞皇后所生第三子，生前曾为陈王，去世后谥号“思”，因此又称陈思王。[1] 曹植是三国时期著名文学家，作为建安文学的代表人物之一与集大成者，[2] 他在两晋南北朝时期，被推尊到文章典范的地位。其代表作有《洛神赋》《白马篇》《七哀诗》等。后人因其文学上的造诣而将他与曹操、曹丕合称为“三曹”。其诗以笔力雄健和词采华美见长，留有集三十卷，已佚，今存《曹子建集》为宋人所编。曹植的散文同样亦具有“情兼雅怨，体被文质”的特色，加上其品种的丰富多样，使他在这方面取得了卓越的成就。南朝宋文学家谢灵运有“天下才有一石，曹子建独占八斗”的评价。文学批评家钟嵘亦赞曹植“骨气奇高，词彩华茂，情兼雅怨，体被文质，粲溢今古，卓尔不群。”[3] 并在《诗品》中把他列为品第最高的诗人。王士祯尝论汉魏以来二千年间诗家堪称“仙才”者，曹植、李白、苏轼三人耳。,32,91,123,木轮攻1火雷6火箭烈12后伏连兵18绝命坝25火雷星雨31木轮涛击37,鼓舞士气(初)1恢复体力(初)6包围敌军13金蝉脱壳18降敌士气(高)13金蝉脱壳18降敌士气(高)24强化士兵(中)30恢复技力(高)36,直剑,雁 玄 鱼 ,玄,飞 武 ,武,,曹操,曹操,许昌登曹操,弘农登曹操,曹操,4
219,曹彰,曹彰（189年～223年8月1日），字子文。沛国谯县（安徽省亳州市）人。三国时期曹魏宗室将领，魏武帝曹操与武宣卞皇后所生第二子、魏文帝曹丕之弟、陈王曹植之兄。[1] 曹彰武艺过人，曹操问诸子志向时自言“好为将”，因此得到曹操的赞赏。其胡须黄色，被曹操称为“黄须儿”。弱冠前喜搏猛虎，臂力过人、不善文章。建安二十一年（216年），封鄢陵侯。建安二十三年（218年），曹彰受封为北中郎将、行骁骑将军，率军征讨乌桓，又降服辽东鲜卑大人轲比能。曹丕即位后，曹彰与诸侯就国。黄初二年（221年）进爵为公。次年被封为任城王。黄初四年（223年），曹彰到洛阳朝见，因病逝于府邸，谥号为威，故亦称为任城威王。（概述内图片来源：《图像三国志》）,92,45,137,半月斩1突石剑6八面火转13烈火旋灯19连弩狂涛24三圣华斩31分身斩36,减缓集气(初)1,眉尖刀,锥 玄 ,锥,关 炼 ,关,,曹操,曹操,许昌登曹操,许昌登曹操,曹操,4
220,曹操,魏武帝曹操（155年[1] —220年3月15日[2] ），字孟德，小名阿瞒、吉利，沛国谯县（今安徽省亳州市）人[3-4] 。中国古代杰出的政治家、军事家、文学家、书法家、诗人[5-6] 。东汉末年权相，太尉曹嵩之子，曹魏的奠基者。曹操少年机警，任侠放荡，不治行业。二十岁时，举孝廉为郎，授洛阳北部尉。后任骑都尉，参与镇压黄巾军。迁济南相，奏免贪吏，禁断淫祀。征为东郡太守，不就，称疾归家。及董卓擅政，乃散家财起兵，与袁绍等共讨董卓。初平三年（192年）据兖州，分化诱降黄巾军三十余万，选其精锐编为青州军，自此兵力大振，先后击败袁术、陶谦、吕布等部。建安元年（196年），迎汉献帝至许（今河南许昌东），自为司空，行车骑将军事，总揽朝政。建安五年（200年），在官渡之战中大败袁绍主力，又先后削平袁尚、袁谭等势力。建安十二年（207年），击破乌桓，统一北方。建安十三年（208年），进位丞相。同年进攻荆州，与孙权、刘备联军展开赤壁之战，败归。建安十八年（213年），封魏公。建安二十年（215年），征张鲁，取汉中。次年进爵为魏王。建安二十五年（220年），病死于洛阳，儿子曹丕代汉称帝后，追尊曹操为太祖武皇帝[95] [158] ，葬于高陵。曹操善诗文，知兵法，开建安文风。有诗文多篇。另有注《孙子》传世。今人整理其诗文成排印本《曹操集》。[158] 同时亦擅长书法，被唐朝张怀瓘《书断》评为“妙品”。,87,92,179,火箭1神剑6火箭烈11太极华阵18黄龙天翔24神剑闪华30后伏军阵35五雷轰顶41,离间计(初)1增加体力(初)7增加经验(初)11金蝉脱壳18降敌士气(高)11金蝉脱壳18降敌士气(高)24增加经验(中)29离间计(高)36喝阻敌军(高)40,直剑,圆 玄 ,玄,刀 ,刀,洛阳登,陈留登,许昌登,襄阳登,邺登,,4
221,曹羲,曹羲（？－249年），字昭叔[8] 。（注：《通典》载“建安十二年，改护军为中护军，领军为中领军。魏初因置护军将军，主武官选，隶领军。晋世则不隶矣。又引曹昭叔述孝诗叙曰：'余年三十，迁中领军，总六军之要，秉选举之机。'以此为证。”）曹真之子，曹爽之弟。曹爽掌权后，受封中领军，掌握禁兵，封安乡侯。曹爽及诸兄弟轻视司马懿，恣意妄为，经常外出狩猎，曹羲屡次劝谏，不被采纳。249年，司马懿发动高平陵政变，被夷三族。[1] 为人有学识，明律法。司马懿曾组织朝议改革九品中正制废除九品而留中正[2-3] ，曹羲认为此举并无区别，最终都是决定于人的人治。[4] ,66,45,111,旋龙1伏兵班阵12突袭石24,扰乱敌将(初)1,短锥枪,箭 ,箭,刀 铁 ,刀,,,,,洛阳野,,4
222,曹叡,魏明帝曹叡（204年—239年1月22日）[1] ，字元仲，沛国谯县（今安徽省亳州市）人。曹魏第二位皇帝。魏文帝曹丕长子，母为文昭甄皇后。黄初三年（222年），曹叡封平原王，黄初七年（226年）五月，魏文帝病重，立曹叡为皇太子，即位于洛阳。曹叡在位期间指挥曹真、司马懿等人成功防御了吴、蜀的多次攻伐，并且平定鲜卑，攻灭公孙渊，设置律博士制度，重视狱讼审理，与尚书陈群等人制《魏律》十八篇，是古代法典编纂史上的重大进步。魏明帝在军事，政治和文化方面都颇有建树，但在统治后期大兴土木，广采众女，因此留下负面影响。景初三年（239年），曹叡病逝于洛阳，年仅三十六岁，庙号烈祖，谥号明帝，葬于高平陵。曹叡能诗文，与曹操、曹丕并称魏氏“三祖”，原有集，已散佚，后人辑有其散文二卷、乐府诗十余首。,59,81,140,伏兵组阵1伏焰9火箭烈15木轮强袭22绝命坝30,减少疲劳(初)1混乱敌军(初)7逼近敌军13减少疲劳(中)20恢复技力(中)13减少疲劳(中)20恢复技力(中)29喝阻敌军(中)34,直剑,雁 玄 钩 ,玄,武 铁 ,铁,,曹操,曹操,曹操,洛阳野曹操,曹操,4
223,梁兴,梁兴（？-212年），武威郡姑臧人也，东汉末年凉州军阀之一。与张横、贾诩、段煨是同乡，曾斩杀李傕。建安十六年，同韩遂、马超联合，起兵反抗曹操。梁兴率步骑五千夜袭曹军先头部队徐晃，被击退。联军战败后，梁兴逃到蓝田，劫掠周围郡县。夏侯渊进攻蓝田联合郑浑征讨梁兴，梁兴战败，不知所终。,71,38,109,落石1地茅刺9神剑18龙炮激射27,减缓集气(初)1,铜殳,方 圆 ,方,弓 ,弓,,西凉登,西凉登,西凉登,,,2
224,淳于琼,暂无,75,60,135,刀剑乱1突石剑8冲车16龙炮激射25神剑闪32,降敌士气(初)1混乱敌军(初)13逼近敌军2525,眉尖刀,方 锥 ,方,炼 ,炼,长安登,平原野,,,,,3
225,笮融,笮[zé]融（？—195年），丹杨（治今安徽宣城）人，东汉末年豪强，生性残暴却笃信佛教，为佛教在中国的发展做出了很大贡献。东汉末年投奔徐州刺史陶谦，督管下邳、彭城、广陵三郡运粮。将其中大量物资占为己有累积财力，遂在徐州一带大规模崇佛，修建豪华佛寺，铸造金铜大佛，衣以锦彩，并举行浴佛节，招揽信徒万余人。其崇佛活动奠定了中国大型佛事活动的基础。后先后投奔赵昱、薛礼、朱皓并将他们杀害，扬州牧刘繇因此兴兵讨伐笮融。笮融兵败后逃入深山，由于当地山民同样对他恨之入骨，便联手搜捕、杀死笮融，并将他的首级献给刘繇。,68,44,112,飞矢1八门金锁11神剑23,降敌士气(初)1,铜殳,锥 ,锥,飞 铁 ,飞,,建业野,,,,,3
226,许子将,许子将，刘繇幕僚。少峻名节，好人伦，多所赏识。若樊子昭、和阳士者，并显名于世。故天下言拔士者，咸称许、郭。初为郡功曹，太守徐璆甚敬之。陈蕃丧妻还葬，乡人毕至，而邵独不往。曹操微时，常卑辞厚礼，求为己目。劭鄙其人而不肯对，操乃伺隙胁劭，劭不得已，曰：“君清平之奸贼，乱世之英雄。”操大悦而去。劭从祖敬，敬子训，训子相，并为三公，相以能谄事宦官，故自致台司封侯，数遣请劭。劭恶其薄行，终不候之。与从兄靖不睦，时议以此少之。初，劭与靖俱有高名，好共核论乡党人物，每月辄更其品题，故汝南俗有“月旦评”焉。司空杨彪辟，举方正、敦朴，征，皆不就。乃南到广陵。徐州刺史陶谦礼之甚厚，劭不自安。遂复投扬州刺史刘繇于曲阿。乃孙策平吴，劭与繇南奔豫章而卒。时年四十六。兄虔亦知名，汝南人称平舆渊有二龙焉。,36,95,131,火箭1火雷7御飞刀13后伏连兵18绝命坝23火雷星雨30赤焰火海34大地狂啸40,诈败1恢复技力(初)6化解计策12离间计(中)17恢复体力(中)12离间计(中)17恢复体力(中)24增加经验(中)29封武将技34增加经验(高)41,直剑,锥 ,锥,刀 弓 ,刀,汝南野,汝南野,汝南野,汝南野,汝南野,,6
227,许攸,许攸（？～204年），字子远，南阳（今河南省南阳市）人。本为袁绍帐下谋士，官渡之战时其家人因犯法而被收捕，许攸因此背袁投曹，并为曹操设下偷袭袁绍军屯粮之所乌巢的计策，袁绍因此而大败于官渡。后许攸随曹操平定冀州，因自恃其功而屡屡口出狂言，终因触怒曹操而被杀。,48,69,117,伏兵组阵1雷击10虎咆震19雷光振杀28,离间计(初)1快速集气(初)10降敌士气(中)19减少疲劳(中)2819减少疲劳(中)28,直剑,锥 ,锥,弓 ,弓,南皮野,南皮野,濮阳登,,,,2
228,许靖,许靖（？—222年），字文休。汝南郡平舆县（今河南省平舆县）人。东汉末年至三国时期蜀汉时期重臣、名士、评论家。许靖因与从弟许邵俱以品评人物而闻名于世。后被刘翊推举为孝廉，任尚书郎。曾先后投奔孔伷、陈祎、许贡、王朗等人，于孙策攻王朗前与家属俱避难交州，受到交趾太守士燮礼待。其后受益州牧刘璋邀请，相继为巴郡、广汉、蜀郡太守。于刘备包围成都时欲越墙叛逃，为刘璋所获。刘备定蜀后欲将其弃用，在法正的建议下方以其为左将军长史。建安二十三年（218年），刘备称汉中王，任命许靖为汉中王傅。章武元年（221年），刘备称帝，任命许靖为司徒，位列三公。章武二年（222年），去世。有文集二卷。,33,76,109,地泉冲1伏焰9火箭烈16炎龙无双23火雷爆32,减少疲劳(初)1混乱敌军(初)8扰乱敌将(中)16减少疲劳(中)25增加技力(中)16减少疲劳(中)25增加技力(中)32,直剑,圆 ,圆,刀 枪 ,枪,,长安登,长安野,梓潼登,梓潼登,,3
229,许禇,暂无,98,40,138,八面火1地茅刺6突袭石11火牛阵17连弩狂涛22神火旋张29集火柱34火牛烈崩40,降敌士气(初)1,眉尖刀,方 锥 ,锥,炼 武 ,炼,,曹操,许昌登曹操,襄阳登曹操,襄阳登曹操,,5
230,逄纪,逢纪（？-202年，逢音páng，古“逄”字），字元图，南阳人。东汉末年袁绍部下谋臣。袁绍逃离董卓势力范围时，与逢纪、许攸同到冀州。袁绍甚为赏识逢纪的智谋而重用。袁绍初到冀州，依赖韩馥提供粮食。初平二年（191年），逢纪提议利用公孙瓒攻击韩馥，实则提议韩馥和袁绍共同防御冀州，结果袁绍成功反客为主。官渡之战中令逢纪统军事。建安五年（200年），袁绍在官渡之战败回，后悔当初不听田丰之计，逢纪即时进言田丰知道袁绍兵败后取笑袁绍不听其言。审配与逢纪有私怨，官渡之战后审配两位儿子被虏，有人对审配有谗言，逢纪肯定审配的节气，袁绍以逢纪公私分明大加赞赏，逢纪与审配成为好友。建安七年，袁绍去世，逢纪、审配私下改袁绍遗命，立袁尚继位。袁谭不能继位，自称车骑将军，屯黎阳。袁尚不给袁谭多兵，使逢纪随之。袁谭要求配兵为审配拒绝，一怒之下杀了逢纪。,63,85,148,火箭1雷击8雷光波动14雷光振杀21火雷爆27火雷星雨34,后选出阵1混乱敌军(初)6强化武将(初)13劝降20降敌士气(高)13劝降20降敌士气(高)25减少疲劳(高)33恢复技力(高)39,直剑,雁 鱼 ,雁,弓 ,弓,南皮野,代县登,邺登,,,,2
231,郭汜,郭汜[1] （？－公元197年），本名郭多，凉州张掖（今甘肃张掖）人。东汉末年割据军阀。郭汜出身马贼，投靠董卓部下，善于用兵。董卓被杀后，采用谋臣贾诩计策，和李傕联兵攻破长安，击败温侯吕布，杀死司徒王允，占领长安。挟持汉献帝，加号扬烈将军。初平三年（公元192年），迁后将军，册封美阳县侯。护送汉献帝东归洛阳，加号车骑将军。建安二年（公元197年），郭汜被部将伍习杀死。,73,42,115,落石1八面火9神剑18太极华阵28,鼓舞士气(初)1,直剑,圆 锥 ,圆,飞 ,飞,西凉登,洛阳登,,,,,2
232,郭奕,郭奕，字伯益，颍川阳翟（今河南禹州）人。三国时期魏臣，军师祭酒郭嘉之子，官至太子文学。,37,80,117,落月弓1火雷7雷光波动15后伏连兵23火雷爆31,扰乱敌将(初)1快速集气(初)8强化武将(初)14劝降21降敌士气(高)14劝降21降敌士气(高)27增加体力(中)35,直剑,冲 ,冲,刀 铁 ,铁,,,,,长安登,,3
233,郭嘉,郭嘉（170年－207年），字奉孝，颍川阳翟（今河南禹州）人。东汉末年曹操帐下著名谋士。郭嘉出身颍川郭氏。原为袁绍部下，后转投曹操，为曹操统一中国北方立下了功勋，官至军师祭酒，封洧阳亭侯。在曹操征伐乌丸时病逝，年仅三十八岁。谥号贞侯。史书上称他“才策谋略，世之奇士”。曹操称赞他见识过人，是自己的“奇佐”。,49,98,147,火箭1雷击6火箭烈13雷光振杀17黄龙天翔23火箭天袭29雷光燋狱34狂雷天牢39,扰乱敌将(初)1强化士兵(初)6扰乱敌将(中)12减少疲劳(中)17快速集气(中)12减少疲劳(中)17快速集气(中)22减少疲劳(高)28恢复技力(高)34混乱敌军(高)39,直剑,方 雁 玄 ,方,弓 ,弓,,,濮阳登,,,,6
234,郭图,郭图（？－205年），字公则，颍川（治今河南省禹州市）人。东汉末年袁绍帐下谋士。官渡之战时力主趁机偷袭曹营，在此计失败后为免于责罚而归罪于率军偷袭曹营的张郃、高览，致使二人背袁投曹。袁绍死后为其长子袁谭效力，于205年和袁谭一同被曹操所杀。,49,80,129,木轮攻1伏焰8御飞刀15木轮强袭22雷击闪30,扰乱敌将(初)1快速集气(初)7扰乱敌将(中)14劝降21鼓舞士气(高)14劝降21鼓舞士气(高)29扰乱敌将(高)34,直剑,圆 钩 ,钩,铁 ,铁,南皮野,代县登袁绍,北海登袁绍,袁绍,,,3
235,陈式,暂无,70,49,119,突石1伏兵班阵9冲车18龙炮激射27,后选出阵1恢复技力(初)24,短锥枪,冲 ,冲,炼 ,炼,,,,成都野,汉中登,,2
236,陈武,陈武，男，壮族，1954年11月生，广西崇左人，1972年10月参加工作，1975年2月加入中国共产党，中央党校法学专业毕业，中央党校研究生学历，哲学学士，研究员。现任十九届中央委员，全国人大财政经济委员会副主任委员。[1] ,78,62,140,刀剑乱1旋灯火8八面火转15乱飞矢23乱刀狂舞30,鼓舞士气(初)1恢复体力(初)12鼓舞士气(中)2626,铜殳,方 ,方,炼 ,炼,,建业登,寿春野,予章登,,,3
237,陈宫,陈宫（？－199年2月7日[1] ），字公台，东汉末年吕布帐下首席谋士，东郡东武阳（今山东莘县）人。性情刚直，足智多谋，年少时与海内知名之士相互结交。192年，兖州刺史刘岱在讨伐青州黄巾时战死，陈宫等人主张曹操接任兖州牧因而被曹操视为心腹。后来，陈宫游说张邈背叛曹操迎吕布入兖州，辅助吕布攻打曹操并先后取得兖州与徐州。下邳城中，吕布不听陈宫两面互补之计，以致失败。陈宫战败后，随吕布等一同被曹操所擒，拒绝曹操招降，决意赴死。,66,90,156,地泉冲1伏焰6雷光波动12雷光振杀18地泉鲸浪25赤焰洪流31狂雷天牢37,后选出阵1恢复技力(初)7增加经验(初)13乱阵19金蝉脱壳13乱阵19金蝉脱壳24增加经验(中)30恢复体力(高)36,直剑,玄 钩 ,钩,弓 ,弓,许昌野,谯野,,,,,4
238,陈泰,陈泰（200年～260年），字玄伯，颍川许昌（今河南省许昌市）人。三国时期魏国名将，司空陈群之子。陈泰早年起家员外散骑侍郎，其父陈群死后袭封颍阴侯，历任游击将军、并州、雍州刺史、尚书等职，高平陵政变发生时，陈泰力劝大将军曹爽投降，因此得到掌权的司马氏信任，此后为了回避朝廷的争斗，陈泰主动请求外调雍州任职，任内成功防御蜀将姜维的多次进攻。甘露元年（256年），陈泰被调回朝中任尚书右仆射，曾随司马昭两度抵抗东吴的进攻，后改任左仆射。甘露五年（260年），魏帝曹髦被弑杀，陈泰闻讯后悲痛过度，呕血而死，享年六十一岁。追赠司空，赐谥为穆。（概述内图片来源：清代修《江苏南兆陈氏宗谱》）,84,80,164,旋龙1太极门6突袭石14乱飞矢21伏兵连阵28炬石轰34,快速集气(初)1恢复体力(初)6扰乱敌将(中)14保护主将21恢复体力(中)14保护主将21恢复体力(中)29增强攻击(中)35,眉尖刀,雁 ,雁,枪 ,枪,,,,,下邳野,,4
239,陈琳,陈琳（1970年1月31日～2009年10月31日），出生于重庆市奉节县，中国内地流行女歌手，毕业于四川省舞蹈学院。1993年，陈琳发行第一张专辑《你的柔情我永远不懂》销量达到150万张。[1] 1994年1月，获得第十六届“十大中文金曲”最佳优秀新人奖。[1] 同年，发行正大国际版专辑《请别再说爱我》。1996年1月，发行第二张专辑《害怕爱上你》。[1] 1997年9月，发行第三张专辑《女人》。[1] 2000年7月17日，第四张专辑《陈琳》同名专辑面世。[2] 2001年8月，参演贺岁片《绝对情感》。11月26日，第五张专辑《爱就爱了》面市。[2] 2002年3月，获得音乐风云榜“内地年度最佳女歌手”奖项。[3] 2003年2月，第六张专辑《不想骗自己》面市。[4] 2005年3月31日，第七张专辑《13131》推出。[5] 2006年3月，在第十三届东方风云榜上获得奖项“华语歌坛五强”。[6] 2009年10月31日，在北京东坝奥林匹克花园三期701号楼跳楼自杀身亡，终年39岁。[7] ,38,84,122,落月弓1雷击7拒陆马15炎龙无双20火雷爆28炎龙杀阵34,降敌士气(初)1增强攻击(初)7增加经验(初)13保护主将20增加技力(中)13保护主将20增加技力(中)28增加体力(中)34,直剑,方 钩 ,方,铁 ,铁,弘农登,代县登,平原登,北海登,,,4
240,陈登,陈登（163—201）[1] ，字元龙，下邳淮浦（今江苏涟水西）人。东汉末年将领、官员。沛相陈珪之子。[1] 陈登为人爽朗，性格沈静，智谋过人，少年时有扶世济民之志，并且博览群书，学识渊博。二十五岁时，举孝廉，任东阳县长。虽然年轻，但他能够体察民情，抚弱育孤，深得百姓敬重。后来，徐州牧陶谦提拔他为典农校尉，主管一州农业生产。他亲自考察徐州的土壤状况，开发水利，发展农田灌溉，使汉末迭遭破坏的徐州农业得到一定程度的恢复，百姓们安居乐业，“秔稻丰积”。建安初，奉使赴许，向曹操献灭吕布之策，被授广陵太守。以灭吕布有功，加伏波将军。在广陵多年，多次击败孙策势力。迁东城太守。年三十九卒。其子陈肃，魏文帝时追陈登之功，为郎中。,52,71,123,木轮攻1炎龙10虎咆震18炎龙无双27,后选出阵1恢复体力(初)8鼓舞士气(中)17偷袭敌军24保留气力(中)17偷袭敌军24保留气力(中)33,直剑,玄 钩 ,玄,弓 ,弓,,徐州登,下邳登,下邳野,,,4
241,陈群,陈群（？－237年2月7日），字长文。颍川郡许昌县（今河南许昌东）人。三国时期著名政治家、曹魏重臣，魏晋南北朝选官制度“九品中正制”和曹魏律法《魏律》的主要创始人。东汉太丘长陈寔之孙、大鸿胪陈纪之子。陈群出身名门望族颍川陈氏，早年被刘备辟为豫州别驾。曹操入主徐州时，被辟为司空西曹掾属，后转任参丞相军事。曹操封魏公时，任魏国的御史中丞。封昌武亭侯。曹魏建立后，历任尚书令、镇军大将军、中护军、录尚书事。曹丕驾崩后，陈群受诏辅政。曹叡即位，任司空、录尚书事，累封颍阴侯。青龙四年十二月（237年2月）病逝，谥号“靖”。正始四年（243年），配享曹操庙庭。[1] 陈群历仕曹操、曹丕、曹叡三代，以其突出的治世之才，竭忠尽职，为曹魏政权的礼制及其政治制度的建设，做出了突出的贡献。陈群撰有文集五卷，今已佚失。其余见于《全三国文》[2] 。概述内图片来源：像取自1922年修《江苏武进陈氏宗谱》,48,93,141,地泉冲1虎咆6拒陆马13后伏连兵19火雷爆24火箭天袭30赤焰洪流37,减少疲劳(初)1快速集气(初)7喝阻敌军(初)12保护主将18鼓舞士气(高)12保护主将18鼓舞士气(高)22混乱敌军(中)29快速集气(高)36强化士兵(高)40,直剑,玄 鱼 ,鱼,武 ,武,,,许昌野,江陵登,洛阳登,,4
242,陈震,陈震，在大革命失败的低潮中，加入中国共产党。先后做学生工作，开展工人运动。建国后任重庆第二十三兵工厂军事代表，接收工厂，恢复生产。1951年10月任轻工部重庆工业试验所（后为四川省中药研究所）所长、党组书记。中共七大正式代表。,61,64,125,伏兵组阵1拒陆马12虎咆阳炎25,减缓集气(初)1增加体力(初)10强化武将(初)20劝降3020劝降30,眉尖刀,圆 ,圆,飞 ,飞,,南皮登,平原登,襄阳野,汉中登,,3
243,陈横,陈横（？－199），三国时期人物，扬州刺史刘繇的部将。与薛礼、张英一起守卫秣陵（建业），后来被前来进攻的孙策麾下大将蒋钦射杀[1] 。,66,52,118,突石1回天术13冲车24,后选出阵1强化士兵(初)23,眉尖刀,玄 ,玄,刀 ,刀,建业野,建业登,,,,,3
244,陈矫,陈矫（？－237年7月11日），字季弼，广陵郡东阳县（治今安徽省天长市西北，今地属江苏省如皋市）人[1] 。三国时期曹魏名臣。陈矫本姓刘，因过继与母族而改姓陈。早年避乱江东，后广陵太守陈登请为功曹。曹操辟为丞相掾属，迁任相县令，转任征南长史。又为彭城、乐陵太守，迁任魏郡西部都尉。曹操东征，拜丞相长史，转西曹属、尚书。曹丕称帝，领吏部事，封高陵亭侯，迁尚书令。明帝继位后，进爵东乡侯，后转侍中，加光禄大夫，又拜司徒。景初元年（237年），陈矫去世，谥贞侯。[2] 概述图片来源：三国志11,32,69,101,伏兵组阵1虎咆10伏兵排阵19虎咆阳炎28,快速集气(初)1混乱敌军(初)10增加经验(初)19偷袭敌军2919偷袭敌军29,直剑,玄 ,玄,枪 炼 ,炼,,濮阳野,江陵登,弘农登,宛登,,3
245,陆抗,陆抗（226年—274年），字幼节，吴郡吴县（今江苏省苏州市）人。三国时期吴国名将。赤乌八年（245年），袭封江陵县侯，起家建武校尉，统领父亲陆逊五千部众。[5] 赤乌九年，迁立节中郎将，把守柴桑。建兴元年，拜奋威将军。太平二年，拜柴桑督，后因功迁征北将军[6] 。吴永安二年，迁镇军将军，镇守西陵。末帝孙皓即位后，担任镇军大将军、都督西陵、信陵、夷道、乐乡、公安诸军事，驻防于乐乡（今湖北江陵西南），遥领益州牧[6] 。凤凰元年，击退晋将羊祜进攻，攻杀叛将步阐，加拜都护，累迁大司马、荆州牧。凤凰三年（274年），去世，终年四十九岁。陆抗与父亲陆逊皆是吴国的中流砥柱，并称“逊抗[1] ”，是吴国最后的名将[2] 。陆抗概述图片来自历代名人图[3] ,78,92,170,半月斩1八面火6冲车11龙炮17神剑闪23炬石轰30炎墙34火牛烈崩41,离间计(初)1混乱敌军(初)5逼近敌军13乱阵17快速集气(中)13乱阵17快速集气(中)24减少疲劳(高)29快速集气(高)35增强攻击(高)41,铜殳,方 玄 ,方,铁 ,铁,,,,,建业野,,4
246,陆凯,陆凯，演员，副导演，主要作品有《叶问》[1] 、《叶问前传》等。,34,72,106,伏兵组阵1炎龙10雷光波动19地泉裂劲27,减缓集气(初)1恢复技力(初)8强化武将(初)16太公阵25鼓舞士气(高)16太公阵25鼓舞士气(高)32,直剑,钩 ,钩,弓 ,弓,,,,,长沙登,,4
